fecha,Pot/uno,Pot/dos,Pot/tres,LM35/uno,Led/estado
13:39:04,1.032,1.990,2.989,38.706,OFF
13:39:04,1.032,1.990,2.990,38.706,OFF
13:39:04,1.032,1.990,2.990,33.700,OFF
13:39:04,1.032,1.990,2.990,33.700,OFF
13:39:05,1.031,1.990,2.990,33.700,OFF
13:39:05,1.031,1.990,2.990,33.700,OFF
13:39:05,1.031,1.990,2.989,33.700,OFF
13:39:05,1.031,1.990,2.989,33.822,OFF
13:39:05,1.031,1.990,2.989,33.822,OFF
13:39:06,1.032,1.990,2.989,33.822,OFF
13:39:06,1.032,1.990,2.989,33.822,OFF
13:39:06,1.032,1.990,2.992,33.822,OFF
13:39:06,1.032,1.990,2.992,33.578,OFF
13:39:06,1.032,1.990,2.992,33.578,OFF
13:39:07,1.032,1.990,2.992,33.578,OFF
13:39:07,1.032,1.991,2.992,33.578,OFF
13:39:07,1.032,1.991,2.987,33.578,OFF
13:39:07,1.032,1.991,2.987,33.822,OFF
13:39:07,1.032,1.991,2.987,33.822,OFF
13:39:08,1.031,1.991,2.987,33.822,OFF
13:39:08,1.031,1.990,2.987,33.822,OFF
13:39:08,1.031,1.990,2.987,33.822,OFF
13:39:08,1.031,1.990,2.987,33.822,OFF
13:39:08,1.031,1.990,2.987,33.822,OFF
13:39:09,1.032,1.990,2.987,33.822,OFF
13:39:09,1.032,1.995,2.987,33.822,OFF
13:39:09,1.032,1.995,2.990,33.822,OFF
13:39:09,1.032,1.995,2.990,33.944,OFF
13:39:09,1.032,1.995,2.990,33.944,OFF
13:39:10,1.032,1.995,2.990,33.944,OFF
13:39:10,1.032,1.991,2.990,33.944,OFF
13:39:10,1.032,1.991,2.990,33.944,OFF
13:39:10,1.032,1.991,2.990,33.578,OFF
13:39:10,1.032,1.991,2.990,33.578,OFF
13:39:11,1.026,1.991,2.990,33.578,OFF
13:39:11,1.026,1.983,2.990,33.578,OFF
13:39:11,1.026,1.983,2.979,33.578,OFF
13:39:11,1.026,1.983,2.979,33.455,OFF
13:39:11,1.026,1.983,2.979,33.455,OFF
13:39:12,1.032,1.983,2.979,33.455,OFF
13:39:12,1.032,1.991,2.979,33.455,OFF
13:39:12,1.032,1.991,2.990,33.455,OFF
13:39:12,1.032,1.991,2.990,33.944,OFF
13:39:12,1.032,1.991,2.990,33.944,OFF
13:39:13,1.032,1.991,2.990,33.944,OFF
13:39:13,1.032,1.991,2.990,33.944,OFF
